time,open,high,low,close,volume
2026-01-27 15:45:00,87701.38,88064.43,87701.38,88047.46,240.88058
2026-01-27 16:00:00,88047.46,88700.0,88002.57,88431.68,508.83944
2026-01-27 16:15:00,88431.68,88608.32,88300.0,88372.9,257.74154
2026-01-27 16:30:00,88372.89,88800.0,88372.89,88739.13,225.15339
2026-01-27 16:45:00,88739.13,88819.89,88618.01,88641.44,137.04141
2026-01-27 17:00:00,88641.43,88699.45,87966.22,88016.25,257.20086
2026-01-27 17:15:00,88016.25,88016.82,87602.93,87894.33,343.55237
2026-01-27 17:30:00,87894.32,87991.25,87327.27,87362.17,416.21153
2026-01-27 17:45:00,87362.17,87563.29,87304.33,87546.58,166.84091
2026-01-27 18:00:00,87546.58,87864.0,87450.0,87670.21,243.5489
2026-01-27 18:15:00,87670.2,87959.98,87670.2,87868.0,327.86619
2026-01-27 18:30:00,87868.01,87959.98,87750.61,87836.38,88.86525
2026-01-27 18:45:00,87836.39,88510.15,87836.39,88285.05,205.34065
2026-01-27 19:00:00,88285.05,88329.92,88049.89,88218.85,132.72615
2026-01-27 19:15:00,88218.85,88380.85,88180.0,88248.68,116.20383
2026-01-27 19:30:00,88248.68,88549.32,88179.01,88528.14,87.35318
2026-01-27 19:45:00,88528.15,88528.15,88359.08,88408.77,133.42615
2026-01-27 20:00:00,88408.78,88739.14,88373.49,88739.13,127.27359
2026-01-27 20:15:00,88739.14,89200.0,88663.05,89149.99,388.8536
2026-01-27 20:30:00,89149.98,89156.71,88819.99,88943.67,124.95191
2026-01-27 20:45:00,88943.66,89497.19,88936.64,89396.16,383.48579
2026-01-27 21:00:00,89396.03,89523.16,89233.9,89394.69,199.97832
2026-01-27 21:15:00,89394.7,89460.49,89224.4,89249.75,124.15634
2026-01-27 21:30:00,89249.75,89285.78,89134.67,89212.27,150.61684
2026-01-27 21:45:00,89212.26,89304.78,89008.75,89081.46,215.12916
2026-01-27 22:00:00,89081.47,89225.97,89081.46,89147.78,76.44038
2026-01-27 22:15:00,89147.77,89259.03,89021.61,89170.39,67.32825
2026-01-27 22:30:00,89170.4,89421.91,89123.88,89331.35,91.77775
2026-01-27 22:45:00,89331.34,89331.73,89237.33,89243.63,45.99794
2026-01-27 23:00:00,89243.63,89320.31,89143.92,89320.31,71.95814
2026-01-27 23:15:00,89320.3,89515.78,89269.75,89502.7,146.71535
2026-01-27 23:30:00,89502.71,89515.77,89376.84,89419.66,79.54784
2026-01-27 23:45:00,89419.66,89500.0,89198.13,89250.0,123.14182
2026-01-28 00:00:00,89249.99,89284.73,89154.8,89247.75,49.04394
2026-01-28 00:15:00,89247.75,89412.0,89168.25,89319.36,82.14946
2026-01-28 00:30:00,89319.36,89319.36,89155.72,89203.57,54.4289
2026-01-28 00:45:00,89203.57,89468.01,89203.56,89467.72,73.22353
2026-01-28 01:00:00,89467.73,89482.59,89345.87,89382.15,119.5671
2026-01-28 01:15:00,89382.15,89497.96,89285.77,89327.68,47.75292
2026-01-28 01:30:00,89327.68,89368.0,89196.87,89364.54,51.41352
2026-01-28 01:45:00,89364.55,89482.57,89304.48,89404.57,48.79529
2026-01-28 02:00:00,89404.57,89453.89,89264.0,89285.03,33.10542
2026-01-28 02:15:00,89285.03,89373.99,89250.54,89333.8,64.23667
2026-01-28 02:30:00,89333.81,89374.69,89153.84,89153.85,55.65761
2026-01-28 02:45:00,89153.85,89285.78,89100.01,89285.77,61.15101
2026-01-28 03:00:00,89285.78,89311.87,89057.86,89080.8,121.95217
2026-01-28 03:15:00,89080.81,89125.0,89001.0,89069.4,90.00024
2026-01-28 03:30:00,89069.39,89165.59,88985.0,89074.66,83.38943
2026-01-28 03:45:00,89074.67,89182.2,89074.66,89126.67,58.51916
2026-01-28 04:00:00,89126.68,89160.0,88912.93,88939.99,79.43549
2026-01-28 04:15:00,88939.99,88948.0,88840.0,88947.99,121.48977
2026-01-28 04:30:00,88947.99,89117.46,88891.14,89017.04,64.7232
2026-01-28 04:45:00,89017.04,89031.44,88966.81,88975.04,46.46118
2026-01-28 05:00:00,88975.03,89068.44,88912.86,88912.86,118.00762
2026-01-28 05:15:00,88912.86,88956.0,88849.0,88892.25,41.83138
2026-01-28 05:30:00,88892.25,89029.89,88873.9,88886.75,89.11018
2026-01-28 05:45:00,88886.76,89105.56,88886.75,89084.1,77.85904
2026-01-28 06:00:00,89084.1,89285.61,89084.1,89243.85,103.61527
2026-01-28 06:15:00,89243.85,89287.08,89190.76,89196.23,74.57572
2026-01-28 06:30:00,89196.24,89342.27,89124.79,89182.2,75.00593
2026-01-28 06:45:00,89182.2,89400.0,89143.61,89317.47,87.61309
2026-01-28 07:00:00,89317.47,89358.51,89201.04,89223.54,56.46816
2026-01-28 07:15:00,89223.54,89297.15,89202.0,89274.9,60.14934
2026-01-28 07:30:00,89274.91,89274.91,89161.16,89250.99,60.98288
2026-01-28 07:45:00,89250.99,89288.62,89099.81,89134.35,192.59482
2026-01-28 08:00:00,89134.35,89258.02,89106.39,89146.01,153.08579
2026-01-28 08:15:00,89146.0,89167.78,88999.73,89026.7,171.42414
2026-01-28 08:30:00,89026.7,89112.0,89001.27,89097.6,46.82648
2026-01-28 08:45:00,89097.61,89097.61,88833.65,88925.47,144.11794
2026-01-28 09:00:00,88925.47,89009.46,88861.1,88944.0,102.51544
2026-01-28 09:15:00,88944.0,89016.03,88849.99,88994.87,85.51154
2026-01-28 09:30:00,88994.88,89444.41,88993.43,89319.28,159.8342
2026-01-28 09:45:00,89319.28,89567.26,89273.26,89567.25,143.08925
2026-01-28 10:00:00,89567.25,89616.48,89433.37,89567.26,358.87956
2026-01-28 10:15:00,89567.25,89703.87,89330.22,89341.07,156.43887
2026-01-28 10:30:00,89341.07,89500.01,89341.07,89493.9,99.34628
2026-01-28 10:45:00,89493.91,89510.0,89403.76,89403.77,73.78956
2026-01-28 11:00:00,89403.76,89471.26,89313.13,89332.26,90.73094
2026-01-28 11:15:00,89332.26,89461.41,89314.14,89456.89,97.43472
2026-01-28 11:30:00,89456.89,89670.0,89352.88,89667.52,227.8468
2026-01-28 11:45:00,89667.51,90156.72,89605.88,90080.0,676.2024
2026-01-28 12:00:00,90079.99,90176.88,89898.16,89928.86,429.03788
2026-01-28 12:15:00,89928.86,89982.3,89790.0,89867.7,121.15063
2026-01-28 12:30:00,89867.7,90000.0,89803.69,89908.7,151.96323
2026-01-28 12:45:00,89908.7,90030.28,89790.0,89998.69,244.63609
2026-01-28 13:00:00,89998.69,90363.09,89969.42,90179.26,368.60385
2026-01-28 13:15:00,90179.26,90299.75,90051.76,90140.73,118.66665
2026-01-28 13:30:00,90140.73,90488.0,90100.59,90415.58,648.4923
2026-01-28 13:45:00,90415.57,90467.48,90172.94,90257.91,349.71515
2026-01-28 14:00:00,90257.91,90276.78,90142.85,90149.73,174.75111
2026-01-28 14:15:00,90149.72,90182.05,89937.0,90010.86,149.12346
2026-01-28 14:30:00,90010.85,90147.45,89640.01,89710.71,379.56688
2026-01-28 14:45:00,89710.71,89774.69,89460.01,89617.27,294.29576
2026-01-28 15:00:00,89617.27,89849.75,89090.0,89101.77,314.04408
2026-01-28 15:15:00,89100.0,89344.06,88904.61,89267.94,391.38466
2026-01-28 15:30:00,89267.94,89540.36,89230.73,89500.01,149.84616
2026-01-28 15:45:00,89500.01,89634.2,89317.68,89479.66,143.60886
2026-01-28 16:00:00,89479.66,89523.0,89248.61,89264.94,139.23125
2026-01-28 16:15:00,89264.94,89758.0,89249.75,89748.93,177.19678
2026-01-28 16:30:00,89748.92,89830.0,89470.47,89552.1,314.78731
2026-01-28 16:45:00,89552.11,89753.42,89510.0,89629.66,113.64777
2026-01-28 17:00:00,89629.66,89791.19,89583.31,89727.9,90.98916
2026-01-28 17:15:00,89727.9,89746.8,89560.0,89593.88,58.56994
2026-01-28 17:30:00,89593.88,89990.6,89277.21,89857.68,236.06467
2026-01-28 17:45:00,89857.68,90600.0,89831.82,90169.88,537.70258
2026-01-28 18:00:00,90169.89,90178.91,89498.25,89816.5,404.08017
2026-01-28 18:15:00,89816.51,89945.33,89710.0,89770.32,103.74498
2026-01-28 18:30:00,89770.32,89817.8,89579.0,89640.01,76.17419
2026-01-28 18:45:00,89640.0,89665.88,89312.88,89546.24,164.51213
2026-01-28 19:00:00,89544.0,89719.58,89073.2,89361.26,448.02234
2026-01-28 19:15:00,89361.26,89627.38,89277.37,89403.69,90.39693
2026-01-28 19:30:00,89403.69,89550.0,89006.36,89039.3,197.18046
2026-01-28 19:45:00,89040.0,89594.93,89040.0,89402.58,157.78347
2026-01-28 20:00:00,89402.57,89624.59,89332.0,89584.86,72.12445
2026-01-28 20:15:00,89584.86,89896.0,89469.95,89791.55,221.49125
2026-01-28 20:30:00,89791.55,89791.56,89153.84,89234.8,174.94868
2026-01-28 20:45:00,89234.8,89257.65,89010.0,89130.63,122.38186
2026-01-28 21:00:00,89130.63,89211.49,88878.01,89211.49,174.87905
2026-01-28 21:15:00,89211.48,89277.4,89150.0,89178.99,52.82921
2026-01-28 21:30:00,89178.99,89490.24,89068.13,89426.09,102.28899
2026-01-28 21:45:00,89426.08,89478.01,89318.9,89412.17,51.50269
2026-01-28 22:00:00,89412.18,89479.04,89270.0,89292.61,45.2851
2026-01-28 22:15:00,89292.61,89292.61,89138.0,89285.77,38.77405
2026-01-28 22:30:00,89285.78,89300.0,89196.62,89259.62,30.39822
2026-01-28 22:45:00,89259.63,89415.5,89259.63,89396.15,41.77781
2026-01-28 23:00:00,89396.15,89454.0,89348.22,89350.02,63.41212
2026-01-28 23:15:00,89350.01,89471.41,89260.14,89298.18,38.05391
2026-01-28 23:30:00,89298.17,89335.9,89209.48,89313.55,54.87894
2026-01-28 23:45:00,89313.54,89399.36,89234.78,89299.99,76.80446
2026-01-29 00:00:00,89300.0,89348.0,89100.0,89100.01,108.02015
2026-01-29 00:15:00,89100.0,89149.58,89006.03,89032.57,140.54936
2026-01-29 00:30:00,89032.58,89149.96,88963.62,88969.86,81.62558
2026-01-29 00:45:00,88969.85,89150.0,88900.0,89143.91,101.01776
2026-01-29 01:00:00,89143.92,89159.99,89012.42,89106.05,47.48068
2026-01-29 01:15:00,89106.72,89106.72,88613.09,88831.59,240.40111
2026-01-29 01:30:00,88831.5,88898.95,88735.6,88836.0,99.27102
2026-01-29 01:45:00,88836.0,88900.0,88548.87,88603.56,237.65827
2026-01-29 02:00:00,88603.56,88754.64,88461.53,88690.26,165.1017
2026-01-29 02:15:00,88690.26,88728.14,88569.77,88611.14,104.96207
2026-01-29 02:30:00,88611.14,88611.14,88022.09,88154.64,482.71454
2026-01-29 02:45:00,88154.64,88154.64,87704.0,87907.06,344.5733
2026-01-29 03:00:00,87907.05,88265.39,87771.3,88081.77,353.54524
2026-01-29 03:15:00,88081.77,88200.0,88000.0,88048.39,178.34288
2026-01-29 03:30:00,88048.39,88132.43,87960.35,88128.34,127.88441
2026-01-29 03:45:00,88128.33,88169.54,87987.2,88053.71,109.96181
2026-01-29 04:00:00,88053.71,88089.22,87964.4,87980.02,79.07718
2026-01-29 04:15:00,87980.02,88070.47,87901.23,88070.47,97.95234
2026-01-29 04:30:00,88070.47,88235.29,88070.47,88165.24,50.73898
2026-01-29 04:45:00,88165.24,88345.66,88165.23,88315.2,83.5753
2026-01-29 05:00:00,88315.2,88408.08,88273.53,88311.47,67.29196
2026-01-29 05:15:00,88311.46,88350.0,88192.08,88206.12,45.74254
2026-01-29 05:30:00,88206.13,88364.64,88206.12,88307.86,177.07634
2026-01-29 05:45:00,88307.86,88311.39,88142.66,88186.54,64.20271
2026-01-29 06:00:00,88186.53,88311.38,88168.9,88249.38,100.15296
2026-01-29 06:15:00,88249.38,88302.0,88193.65,88279.99,82.15334
2026-01-29 06:30:00,88279.99,88338.67,88262.32,88328.48,57.91439
2026-01-29 06:45:00,88328.48,88334.5,88255.01,88319.35,44.29693
2026-01-29 07:00:00,88319.35,88390.23,88306.08,88329.73,72.02681
2026-01-29 07:15:00,88329.74,88344.14,88250.0,88265.89,97.17806
2026-01-29 07:30:00,88265.9,88366.0,88250.0,88338.11,122.02058
2026-01-29 07:45:00,88338.1,88430.05,88286.26,88352.97,235.51069
2026-01-29 08:00:00,88352.96,88352.97,87950.0,87950.01,265.25693
2026-01-29 08:15:00,87950.01,88469.6,87907.8,88452.4,182.22605
2026-01-29 08:30:00,88452.4,88500.0,88099.57,88125.19,209.50143
2026-01-29 08:45:00,88125.2,88214.25,87931.94,88064.16,166.68821
2026-01-29 09:00:00,88064.16,88160.0,87993.6,87994.29,81.94405
2026-01-29 09:15:00,87994.28,88078.91,87994.28,88033.93,69.1619
2026-01-29 09:30:00,88033.94,88135.29,87972.71,88026.96,105.46468
2026-01-29 09:45:00,88026.95,88027.87,87892.0,87892.01,116.27702
2026-01-29 10:00:00,87892.0,88004.04,87850.0,87933.54,151.81152
2026-01-29 10:15:00,87933.53,88007.12,87898.09,87956.01,128.1411
2026-01-29 10:30:00,87956.01,87967.43,87911.17,87915.58,66.42355
2026-01-29 10:45:00,87915.58,88046.59,87832.18,87946.46,229.03944
2026-01-29 11:00:00,87946.47,88066.94,87836.39,88023.31,92.73063
2026-01-29 11:15:00,88023.32,88033.27,87785.26,87787.73,165.3097
2026-01-29 11:30:00,87787.73,87904.86,87767.46,87792.6,157.00606
2026-01-29 11:45:00,87792.61,87850.63,87750.01,87846.5,112.05877
2026-01-29 12:00:00,87846.5,88061.39,87817.97,88021.99,223.31491
2026-01-29 12:15:00,88022.0,88108.01,87940.68,87940.69,142.08525
2026-01-29 12:30:00,87940.69,88070.06,87835.93,88001.77,82.72944
2026-01-29 12:45:00,88001.77,88121.29,88001.7,88121.21,68.56153
2026-01-29 13:00:00,88121.21,88150.0,88085.89,88133.39,60.63926
2026-01-29 13:15:00,88133.39,88182.29,88085.9,88167.98,60.91286
2026-01-29 13:30:00,88167.98,88167.98,88060.16,88081.96,67.15529
2026-01-29 13:45:00,88081.97,88094.92,87951.67,88052.88,94.42511
2026-01-29 14:00:00,88052.87,88075.23,87952.63,87989.55,71.63984
2026-01-29 14:15:00,87989.55,88070.68,87816.01,87827.48,96.15533
2026-01-29 14:30:00,87827.47,87947.94,87555.0,87682.65,421.21291
2026-01-29 14:45:00,87682.65,87863.63,87008.0,87014.4,476.76573
2026-01-29 15:00:00,87014.4,87039.51,85300.0,85338.76,2674.72072
2026-01-29 15:15:00,85340.58,85804.82,85224.71,85454.87,2369.43368
2026-01-29 15:30:00,85454.87,85632.76,84425.0,84619.99,2193.99699
2026-01-29 15:45:00,84620.0,85150.0,84366.56,84934.02,1003.80501
2026-01-29 16:00:00,84934.02,84980.0,84425.68,84769.56,1215.07136
2026-01-29 16:15:00,84769.56,84929.0,84466.42,84504.71,614.42293
2026-01-29 16:30:00,84504.7,84813.6,84268.17,84621.58,1168.93604
2026-01-29 16:45:00,84621.57,85392.2,84588.44,85270.0,1078.32846
2026-01-29 17:00:00,85270.01,85470.01,85070.93,85236.58,633.6599
2026-01-29 17:15:00,85236.59,85638.3,85033.02,85059.53,755.33595
2026-01-29 17:30:00,85059.53,85141.57,84732.11,84880.32,437.6981
2026-01-29 17:45:00,84880.32,84915.53,84012.78,84261.66,825.98552
2026-01-29 18:00:00,84261.66,84630.55,84237.3,84523.51,304.28953
2026-01-29 18:15:00,84523.51,84554.3,83705.01,83881.48,1006.09732
2026-01-29 18:30:00,83881.49,84109.33,83600.0,84024.01,491.44051
2026-01-29 18:45:00,84024.01,84035.81,83415.0,83477.02,503.93956
2026-01-29 19:00:00,83477.02,83671.34,83383.33,83664.86,437.52809
2026-01-29 19:15:00,83664.86,83949.0,83553.78,83801.9,395.34618
2026-01-29 19:30:00,83801.9,84334.97,83801.89,84166.57,556.14756
2026-01-29 19:45:00,84166.57,84241.91,84000.0,84012.11,363.66342
2026-01-29 20:00:00,84012.11,84109.35,83903.7,83918.06,215.43684
