time,open,high,low,close,volume,ema50,ema200,ema50_slope,atr,ema_distance,strong_bullish,strong_bearish,high_20,low_20,volume_avg,high_volume,candle_size,strong_candle,strong_long_candle,strong_short_candle,buy,sell,buy_sl,sell_sl,buy_risk,sell_risk,buy_tp,sell_tp
2026-05-01 07:30:00,77004.13,77049.82,76957.04,76996.88,209.153,,,,7.699688000000001,,False,False,,,,False,7.25,True,False,True,False,False,76985.330468,77008.42953200001,11.549532000004547,11.549532000004547,77025.75383000002,76968.00617
2026-05-01 07:45:00,76996.87,77140.36,76996.74,77130.54,166.27206,,,,7.713054,,False,False,,,,False,133.66999999999825,True,True,False,False,False,77118.97041899999,77142.109581,11.569581000003382,11.569581000003382,77159.4639525,77101.61604749999
2026-05-01 08:00:00,77130.54,77250.0,77048.0,77250.0,208.09032,,,,7.7250000000000005,,False,False,,,,False,119.4600000000064,True,True,False,False,False,77238.4125,77261.5875,11.58749999999418,11.58749999999418,77278.96874999999,77221.03125000001
2026-05-01 08:15:00,77249.99,77500.0,77227.75,77440.73,361.79558,,,,7.744073,,False,False,,,,False,190.7399999999907,True,True,False,False,False,77429.1138905,77452.3461095,11.616109499998856,11.616109499998856,77469.77027375,77411.68972625
2026-05-01 08:30:00,77440.74,77457.99,77361.82,77370.66,82.60631,,,,7.737066,,False,False,,,,False,70.08000000000175,True,False,True,False,False,77359.054401,77382.265599,11.605599000002258,11.605599000002258,77399.67399750001,77341.6460025
2026-05-01 08:45:00,77370.67,77382.46,77358.15,77377.47,45.2434,,,,7.737747000000001,,False,False,,,,False,6.80000000000291,True,True,False,False,False,77365.8633795,77389.0766205,11.606620499995188,11.606620499995188,77406.48655124998,77348.45344875002
2026-05-01 09:00:00,77377.48,77391.99,77289.18,77338.73,95.87223,,,,7.733873,,False,False,,,,False,38.75,True,False,True,False,False,77327.1291905,77350.3308095,11.600809499999741,11.600809499999741,77367.73202375,77309.72797625
2026-05-01 09:15:00,77338.74,77377.91,77299.34,77346.8,92.6073,,,,7.734680000000001,,False,False,,,,False,8.059999999997672,True,True,False,False,False,77335.19798,77358.40202000001,11.602020000005723,11.602020000005723,77375.80505000002,77317.79494999998
2026-05-01 09:30:00,77346.81,77346.81,77275.23,77279.94,92.50511,,,,7.727994000000001,,False,False,,,,False,66.86999999999534,True,False,True,False,False,77268.34800900001,77291.531991,11.591990999993868,11.591990999993868,77308.91997749999,77250.96002250002
2026-05-01 09:45:00,77279.94,77279.94,77200.15,77268.55,74.18095,,,,7.7268550000000005,,False,False,,,,False,11.389999999999418,True,False,True,False,False,77256.95971750001,77280.1402825,11.590282499993918,11.590282499993918,77297.52570624999,77239.57429375002
2026-05-01 10:00:00,77268.56,77268.56,77146.48,77159.42,62.23021,,,,7.715942,,False,False,,,,False,109.13999999999942,True,False,True,False,False,77147.846087,77170.993913,11.573913000000175,11.573913000000175,77188.3547825,77130.4852175
2026-05-01 10:15:00,77159.41,77433.72,77159.41,77349.1,148.5105,,,,7.734910000000001,,False,False,,,,False,189.69000000000233,True,True,False,False,False,77337.497635,77360.702365,11.602364999998827,11.602364999998827,77378.1059125,77320.09408750001
2026-05-01 10:30:00,77349.11,77361.77,77251.0,77251.01,45.67436,,,,7.7251009999999996,,False,False,,,,False,98.10000000000582,True,False,True,False,False,77239.4223485,77262.5976515,11.587651499998174,11.587651499998174,77279.97912874998,77222.04087125
2026-05-01 10:45:00,77251.0,77305.39,77251.0,77304.34,74.57737,,,,123.24500000000366,,False,False,,,,False,53.33999999999651,True,True,False,False,False,77119.47249999999,77489.2075,184.86750000000757,184.86750000000757,77766.50875000001,76842.17124999998
2026-05-01 11:00:00,77303.8,77331.0,77263.66,77324.48,161.08413,,,,119.25178571428886,,False,False,,,,False,20.679999999993015,False,False,False,False,False,77145.60232142857,77503.35767857142,178.877678571429,178.877678571429,77771.67419642856,76877.28580357143
2026-05-01 11:15:00,77324.48,77600.0,77307.5,77382.63,244.96082,,,,131.62665816326822,,False,False,,,,False,58.15000000000873,True,True,False,False,False,77185.1900127551,77580.0699872449,197.43998724489938,197.43998724489938,77876.22996811225,76889.03003188776
2026-05-01 11:30:00,77382.64,77429.8,77344.78,77412.88,99.94059,,,,128.2976111516065,,False,False,,,,False,30.24000000000524,False,False,False,False,False,77220.43358327259,77605.32641672742,192.44641672741272,192.44641672741272,77893.99604181854,76931.76395818147
2026-05-01 11:45:00,77412.88,77474.01,77344.78,77463.98,78.39406,,,,128.36421035506288,,False,False,,,,False,51.09999999999127,True,True,False,False,False,77271.4336844674,77656.5263155326,192.5463155325997,192.5463155325997,77945.3457888315,76982.61421116849
2026-05-01 12:00:00,77463.98,77677.77,77408.73,77553.65,178.53466,,,,138.41248104398753,,False,False,,,,False,89.66999999999825,True,True,False,False,False,77346.031278434,77761.26872156598,207.61872156598838,207.61872156598838,78072.69680391497,77034.60319608502
2026-05-01 12:15:00,77553.64,77799.48,77550.72,77763.04,247.31757,,,,146.29444668370232,,False,False,,,138.4775265,True,209.39999999999418,True,True,False,False,False,77543.59832997444,77982.48167002555,219.44167002555332,219.44167002555332,78311.64417506388,77214.43582493611
2026-05-01 12:30:00,77763.04,78170.2,77760.53,77959.08,733.68866,,,,165.10698620629486,,False,False,77799.48,76957.04,164.7043095,True,196.04000000000815,True,True,False,False,False,76874.48650689685,78206.74047930945,1084.5934931031516,247.66047930944478,80670.56373275787,77339.92880172639
2026-05-01 12:45:00,77959.08,78042.37,77896.0,77896.01,233.43565,,,,163.76863004870205,,False,False,78170.2,76996.74,168.062489,True,63.070000000006985,True,False,True,False,False,76914.85568497566,78252.08431502435,981.1543150243378,356.07431502435065,80348.89578756085,77005.82421243913
2026-05-01 13:00:00,77896.01,78430.2,77896.0,78344.38,471.78275,,,,190.22801361665168,,False,False,78170.2,77048.0,181.24711050000002,True,448.3700000000099,True,True,False,False,False,76952.88599319168,78629.72202042498,1391.4940068083233,285.34202042497054,81823.11501702081,77631.02494893759
2026-05-01 13:15:00,78344.37,78399.72,78260.35,78279.65,269.38706,,,,186.59529835831907,,False,False,78430.2,77146.48,176.6266845,True,64.72000000000116,True,False,True,False,False,77053.18235082083,78559.54294753747,1226.4676491791615,279.89294753747527,81345.8191229479,77579.9176311563
2026-05-01 13:30:00,78279.65,78539.25,78137.36,78259.08,736.86765,,,,201.9734913327248,,False,False,78430.2,77146.48,209.3397515,True,20.569999999992433,False,False,False,False,False,77045.49325433363,78562.04023699909,1213.586745666369,302.96023699908983,81293.04686416592,77501.67940750228
2026-05-01 13:45:00,78259.07,78914.12,78190.0,78737.25,876.30253,,,,239.26967052324412,,False,False,78539.25,77146.48,250.892708,True,478.179999999993,True,True,False,False,False,77026.84516473838,79096.15450578487,1710.4048352616228,358.9045057848707,83013.26208815406,77839.98873553783
2026-05-01 14:00:00,78737.26,78871.8,78599.0,78681.2,818.0992,,,,241.6646940572983,,False,False,78914.12,77146.48,287.00405650000005,True,56.05999999999767,False,False,False,False,False,77025.64765297134,79043.69704108595,1655.552347028657,362.49704108595324,82820.08086757164,77774.95739728512
2026-05-01 14:15:00,78681.2,78718.0,78145.82,78275.86,467.93467,,,,265.2729301960622,,False,False,78914.12,77146.48,305.77042500000005,True,405.3399999999965,True,False,True,False,False,77013.84353490197,79046.75646509802,1262.0164650980296,770.8964650980197,81430.90116274508,76348.61883725495
2026-05-01 14:30:00,78275.87,78295.02,78051.86,78196.74,435.51299,,,,263.693435182058,,False,False,78914.12,77146.48,322.92081900000005,True,79.1299999999901,True,False,True,False,False,77014.63328240896,79045.96671759103,1182.106717591043,849.2267175910238,81152.0067939776,76073.67320602245
2026-05-01 14:45:00,78196.74,78449.96,78146.32,78358.75,249.15466,,,,266.5467612404824,,False,False,78914.12,77146.48,331.6695045,False,162.00999999999476,True,True,False,False,False,77013.20661937975,79047.39338062024,1345.543380620249,688.6433806202404,81722.60845155062,76637.1415484494
2026-05-01 15:00:00,78358.74,78474.22,78176.06,78460.94,216.14577,,,,268.8048497233053,,False,False,78914.12,77146.48,339.36528250000003,False,102.19999999999709,True,True,False,False,False,77012.07757513835,79048.52242486164,1448.8624248616543,587.5824248616409,82083.09606215413,76991.9839378459
2026-05-01 15:15:00,78460.95,78600.0,78422.55,78536.02,269.38503,,,,262.2795033144976,,False,False,78914.12,77159.41,345.409009,False,75.07000000000698,True,True,False,False,False,77028.27024834276,79045.25975165724,1507.7497516572475,509.23975165723823,82305.39437914312,77262.92062085691
2026-05-01 15:30:00,78536.01,78735.92,78528.05,78663.98,187.92403,,,,258.3931102206046,,False,False,78914.12,77251.0,352.5214925,False,127.97000000000116,True,True,False,False,False,77121.8034448897,79051.5696653309,1542.1765551103017,387.5896653309028,82519.42138777574,77695.00583667273
2026-05-01 15:45:00,78663.97,78683.67,78177.1,78445.89,339.72263,,,,276.1200309191323,,False,False,78914.12,77251.0,365.77875550000005,False,218.08000000000175,True,False,True,False,False,77112.93998454044,79052.18001545955,1332.950015459559,606.2900154595554,81778.2650386489,76930.16496135111
2026-05-01 16:00:00,78445.88,78683.23,78390.33,78390.33,196.58019,,,,277.31860013919385,,False,False,78914.12,77263.66,367.5535585,False,55.55000000000291,False,False,False,False,False,77125.0006999304,79052.7793000696,1265.3293000695994,662.4493000695948,81553.653250174,76734.20674982601
2026-05-01 16:15:00,78390.33,78474.48,78173.15,78328.0,199.3046,,,,279.03370012925154,,False,False,78914.12,77307.5,365.2707475,False,62.330000000001746,False,False,False,False,False,77167.98314993537,79053.63685006462,1160.016850064625,725.6368500646204,81228.04212516156,76513.90787483845
2026-05-01 16:30:00,78328.01,78390.0,78173.15,78278.22,134.63579,,,,274.59200726287685,,False,False,78914.12,77344.78,367.00550749999996,False,49.7899999999936,False,False,False,False,False,77207.48399636857,79051.41600363143,1070.7360036314349,773.1960036314267,80955.06000907859,76345.22999092143
2026-05-01 16:45:00,78278.21,78351.82,78167.53,78214.36,174.16608,,,,268.14186388695765,,False,False,78914.12,77344.78,371.7941085,False,63.85000000000582,False,False,False,False,False,77210.70906805652,79048.19093194348,1003.6509319434845,833.8309319434775,80723.4873298587,76129.78267014131
2026-05-01 17:00:00,78214.36,78330.0,78131.02,78330.0,142.1507,,,,263.2017307521747,,False,False,78914.12,77408.73,369.97491049999996,False,115.63999999999942,True,True,False,False,False,77277.1291346239,79045.72086537609,1052.8708653760987,715.7208653760899,80962.17716344024,76540.69783655978
2026-05-01 17:15:00,78330.0,78350.0,78185.82,78250.82,150.89754,,,,256.12874998416174,,False,False,78914.12,77550.72,365.153909,False,79.17999999999302,True,False,True,False,False,77422.65562500792,79042.18437499208,828.1643749920913,791.3643749920739,80321.23093748023,76272.40906251982
2026-05-01 17:30:00,78250.83,78552.47,78183.72,78438.28,138.34726,,,,264.17312498529304,,False,False,78914.12,77760.53,335.386839,False,187.4499999999971,True,True,False,False,False,77628.44343750735,79046.20656249265,809.8365624926519,607.9265624926484,80462.87140623163,76918.46359376838
2026-05-01 17:45:00,78438.28,78584.61,78420.66,78552.94,57.92388,,,,257.01433034348617,,False,False,78914.12,77896.0,326.6112505,False,114.66000000000349,True,True,False,False,False,77767.49283482826,79042.62716517174,785.4471651717467,489.68716517173743,80516.55791292936,77328.72208707067
2026-05-01 18:00:00,78552.93,78609.11,78466.4,78527.36,92.09331,,,,248.8497353189519,,False,False,78914.12,77896.0,307.6267785,False,25.569999999992433,False,False,False,False,False,77771.57513234053,79038.54486765947,755.7848676594731,511.1848676594673,80416.82216914868,77249.39783085133
2026-05-01 18:15:00,78527.36,78623.37,78480.0,78586.48,94.58036,,,,241.31546851045502,,False,False,78914.12,78051.86,298.8864435,False,59.11999999999534,False,False,False,False,False,77931.20226574477,79034.77773425523,655.277734255229,448.2977342552331,80224.67433563806,77465.73566436191
2026-05-01 18:30:00,78586.49,78586.49,78413.23,78428.53,230.26507,,,,236.45436361685174,,False,False,78914.12,78051.86,273.5563145,False,157.9600000000064,True,False,True,False,False,77933.63281819157,79032.34718180842,494.89718180842465,603.8171818084229,79665.77295452106,76918.98704547895
2026-05-01 18:45:00,78428.54,78507.97,78375.53,78423.9,70.82613,,,,229.0247662156482,,False,False,78914.12,78051.86,233.28249449999998,False,4.639999999999418,False,False,False,False,False,77937.34761689218,79028.63238310782,486.55238310781715,604.7323831078247,79640.28095776954,76912.06904223043
2026-05-01 19:00:00,78423.91,78540.0,78416.96,78489.06,83.26778,,,,221.4544257716729,,False,False,78871.8,78051.86,196.54092350000002,False,65.14999999999418,True,True,False,False,False,77941.13278711417,78982.52721288583,547.9272128858283,493.4672128858365,79858.87803221456,77255.3919677854
2026-05-01 19:15:00,78489.07,78494.07,78350.0,78415.73,87.57114,,,,215.92696678798248,,False,False,78735.92,78051.86,177.52274699999998,False,73.34000000001106,True,False,True,False,False,77943.89651660601,78843.88348339399,471.833483393988,428.153483393995,79595.31370848496,77345.34629151502
2026-05-01 19:30:00,78415.14,78417.43,78313.16,78341.41,107.56388,,,,207.95146916026872,,False,False,78735.92,78051.86,161.1252915,False,73.72999999999593,True,False,True,False,False,77947.88426541987,78839.89573458013,393.5257345801365,498.48573458012834,79325.22433645034,77095.19566354968
2026-05-01 19:45:00,78341.42,78466.59,78336.0,78360.0,234.25203,78036.65006009901,,,202.425649934535,,False,False,78735.92,78131.02,160.38016,True,18.580000000001746,False,False,False,False,False,78029.80717503274,78837.13282496727,330.19282496726373,477.13282496726606,79185.48206241816,77167.16793758183
2026-05-01 20:00:00,78360.01,78422.81,78291.33,78291.33,112.67654,78046.63750872258,,,197.35810351063932,,False,False,78735.92,78131.02,155.2066985,False,68.67999999999302,True,False,True,False,False,77995.29284473404,78834.59905175531,296.0371552659635,543.2690517553128,79031.4228881649,76933.15737061172
2026-05-01 20:15:00,78291.33,78300.09,78100.07,78153.28,147.49472,78050.81956720405,,,197.54823897416435,,False,False,78735.92,78131.02,149.11218300000002,False,138.0500000000029,True,False,True,False,False,77856.95764153876,78834.69411948707,296.3223584612424,681.4141194870754,78894.0858961531,76449.74470128231
2026-05-01 20:30:00,78153.27,78180.48,77945.28,77985.19,351.35434,78048.24585868625,,,200.23765047600955,,False,False,78735.92,78100.07,157.28369849999999,True,168.08000000000175,True,False,True,False,False,77684.83352428599,78836.038825238,300.35647571401205,850.8488252380048,78736.08118928503,75858.06793690499
2026-05-01 20:45:00,77985.2,78031.07,77752.0,77880.18,216.00199,78041.65504069855,,,205.8685325848665,,False,False,78683.67,77945.28,151.0976665,True,105.02000000000407,True,False,True,False,False,77571.3772011227,78786.60426629243,308.8027988772956,906.4242662924371,78652.18699719323,75614.11933426891
2026-05-01 21:00:00,77880.18,77979.99,77857.97,77955.16,82.53259,78038.26307831821,,2.0670008489048427e-05,199.87935168594777,,False,False,78683.23,77752.0,145.3952865,False,74.98000000001048,True,True,False,False,False,77652.06032415702,78783.16967584298,303.09967584298283,828.0096758429718,78712.90918960745,75885.13581039257
2026-05-01 21:15:00,77955.16,78064.85,77932.75,78021.45,113.51743,78037.60374191358,,-0.00011574831533239014,195.0379694226662,,False,False,78623.37,77752.0,141.105928,False,66.2899999999936,True,True,False,False,False,77654.48101528866,78720.88898471133,366.9689847113332,699.4389847113343,78938.87246177833,76272.85253822166
2026-05-01 21:30:00,78021.46,78185.7,78021.45,78117.06,191.27547,78040.71967360325,,-0.00012940150605465512,192.8388287496186,,False,False,78623.37,77752.0,143.937912,True,95.59999999999127,True,True,False,False,False,77655.5805856252,78719.7894143748,461.4794143748004,602.7294143748004,79270.758535937,76610.236464063
2026-05-01 21:45:00,78117.06,78200.0,78117.06,78199.99,98.40275,78046.96556875606,,-1.6403827095713294e-05,184.9889124103603,,False,False,78623.37,77752.0,140.14974550000002,False,82.93000000000757,True,True,False,False,False,77659.50554379482,78715.86445620518,540.4844562051876,515.8744562051725,79551.20114051297,76910.30385948707
2026-05-01 22:00:00,78200.0,78314.0,78200.0,78282.61,100.30778,78056.20652684406,,0.00018645793887799077,179.9189900953342,,False,False,78623.37,77752.0,138.0575995,False,82.61000000000058,True,True,False,False,False,77662.04050495234,78713.32949504766,620.5694950476609,430.7194950476551,79834.03373761915,77205.81126238086
2026-05-01 22:15:00,78282.6,78411.13,78280.54,78353.41,130.9405,78067.86156500704,,0.0003792817205468475,176.3954908028111,,False,False,78623.37,77752.0,137.05974750000001,False,70.80999999999767,True,True,False,False,False,77663.80225459859,78711.56774540141,689.6077454014157,358.1577454014041,80077.42936350354,77458.0156364965
2026-05-01 22:30:00,78353.41,78369.59,78228.0,78263.61,60.94334,78075.53797422246,,0.00048610196225828354,173.90938431689577,,False,False,78623.37,77752.0,133.18955150000002,False,89.80000000000291,True,False,True,False,False,77665.04530784154,78710.32469215845,598.5646921584557,446.7146921584499,79760.02173039614,77146.82326960388
2026-05-01 22:45:00,78263.6,78263.6,78144.7,78153.38,39.78624,78078.59060268433,,0.00048527139728428,169.9808568656892,,False,False,78623.37,77752.0,132.2826695,False,110.22000000000116,True,False,True,False,False,77667.00957156715,78708.36042843285,486.370428432856,554.980428432842,79369.30607108214,76765.9289289179
2026-05-01 23:00:00,78153.37,78183.15,78100.0,78124.0,28.88149,78080.37136336337,,0.0004280216964730838,163.77865280385384,,False,False,78623.37,77752.0,129.1220785,False,29.369999999995343,False,False,False,False,False,77670.11067359807,78705.25932640192,453.889326401928,581.2593264019233,79258.72331600482,76670.85168399519
2026-05-01 23:15:00,78124.01,78139.22,78043.28,78044.17,52.40145,78078.95170205501,,0.0002913948323010803,158.93303474643588,,False,False,78623.37,77752.0,127.01313300000001,False,79.83999999999651,True,False,True,False,False,77672.53348262678,78702.83651737322,371.63651737321925,658.6665173732181,78973.26129343305,76397.50370656696
2026-05-01 23:30:00,78044.16,78144.35,78044.16,78112.21,38.61129,78080.25594903325,,0.00015876423124369136,154.7371036931192,,False,False,78586.49,77752.0,117.430444,False,68.05000000000291,True,True,False,False,False,77674.63144815344,78663.85855184657,437.5785518465709,551.6485518465634,79206.15637961644,76733.0886203836
2026-05-01 23:45:00,78112.2,78249.6,78112.2,78231.13,53.66025,78086.17257848292,,0.00013620917045704554,153.49873914361132,,False,False,78540.0,77752.0,116.57215,False,118.93000000000757,True,True,False,False,False,77675.2506304282,78616.7493695718,555.879369571805,385.6193695717957,79620.82842392952,77267.08157607052
