time,open,high,low,close,volume,htf_bull,htf_bear,atr,atr_pct,atr_pct_base,vol_ok,adx,trend_ok,ret_fast,ret_slow,mom_up,mom_dn,buy,sell,buy_sl,sell_sl,buy_risk,sell_risk,buy_tp,sell_tp,trail_start_r,trail_atr_mult
2026-01-27 15:45:00,87701.38,88064.43,87701.38,88047.46,240.88058,False,False,8.804746000000002,0.0001,,False,0.0,False,,,False,False,False,False,88029.850508,88065.06949200001,17.60949200000323,17.60949200000323,88082.67898400001,88012.241016,1.5,1.2
2026-01-27 16:00:00,88047.46,88700.0,88002.57,88431.68,508.83944,False,False,8.843168,0.00010000000000000002,,False,0.0,False,,,False,False,False,False,88413.993664,88449.36633599999,17.686335999998846,17.686335999998846,88467.05267199999,88396.307328,1.5,1.2
2026-01-27 16:15:00,88431.68,88608.32,88300.0,88372.9,257.74154,False,False,8.83729,0.0001,,False,0.0,False,,,False,False,False,False,88355.22541999999,88390.57458,17.674580000006245,17.674580000006245,88408.24916,88337.55083999998,1.5,1.2
2026-01-27 16:30:00,88372.89,88800.0,88372.89,88739.13,225.15339,False,False,8.873913000000002,0.00010000000000000002,,False,0.0,False,,,False,False,False,False,88721.382174,88756.87782600001,17.74782600000617,17.74782600000617,88774.62565200002,88703.63434799999,1.5,1.2
2026-01-27 16:45:00,88739.13,88819.89,88618.01,88641.44,137.04141,False,False,8.864144000000001,0.00010000000000000002,,False,0.0,False,,,False,False,False,False,88623.711712,88659.168288,17.72828799999843,17.72828799999843,88676.896576,88605.983424,1.5,1.2
2026-01-27 17:00:00,88641.43,88699.45,87966.22,88016.25,257.20086,False,False,8.801625,9.999999999999999e-05,,False,0.0,False,,,False,False,False,False,87998.64675,88033.85325,17.603250000000116,17.603250000000116,88051.4565,87981.0435,1.5,1.2
2026-01-27 17:15:00,88016.25,88016.82,87602.93,87894.33,343.55237,False,False,8.789433,0.0001,,False,0.0,False,,,False,False,False,False,87876.751134,87911.908866,17.578865999996196,17.578865999996196,87929.487732,87859.17226800001,1.5,1.2
2026-01-27 17:30:00,87894.32,87991.25,87327.27,87362.17,416.21153,False,False,8.736217,0.0001,,False,0.0,False,,,False,False,False,False,87344.697566,87379.642434,17.4724339999957,17.4724339999957,87397.11486799999,87327.225132,1.5,1.2
2026-01-27 17:45:00,87362.17,87563.29,87304.33,87546.58,166.84091,False,False,8.754658000000001,0.0001,,False,0.0,False,-0.005688750135438347,,False,False,False,False,87529.070684,87564.089316,17.509315999996033,17.509315999996033,87581.598632,87511.56136800001,1.5,1.2
2026-01-27 18:00:00,87546.58,87864.0,87450.0,87670.21,243.5489,False,False,8.767021000000002,0.0001,,False,0.0,False,-0.008610828155701467,,False,False,False,False,87652.675958,87687.744042,17.534041999999317,17.534041999999317,87705.278084,87635.14191600001,1.5,1.2
2026-01-27 18:15:00,87670.2,87959.98,87670.2,87868.0,327.86619,False,False,8.786800000000001,0.00010000000000000002,,False,0.0,False,-0.005713289933904964,,False,False,False,False,87850.4264,87885.5736,17.573600000003353,17.573600000003353,87903.1472,87832.8528,1.5,1.2
2026-01-27 18:30:00,87868.01,87959.98,87750.61,87836.38,88.86525,False,False,8.783638000000002,0.00010000000000000002,,False,0.0,False,-0.01017307697292047,,False,False,False,False,87818.812724,87853.947276,17.567276000001584,17.567276000001584,87871.51455200001,87801.245448,1.5,1.2
2026-01-27 18:45:00,87836.39,88510.15,87836.39,88285.05,205.34065,False,False,8.828505000000002,0.00010000000000000002,,False,0.0,False,-0.004020579990577811,,False,False,False,False,88267.39299000001,88302.70701,17.657009999995353,17.657009999995353,88320.36402,88249.73598000001,1.5,1.2
2026-01-27 19:00:00,88285.05,88329.92,88049.89,88218.85,132.72615,False,False,423.91428571428384,0.004805257444574304,,False,0.0,False,0.002301847670174606,,False,False,False,False,87371.02142857143,89066.67857142858,847.8285714285739,847.8285714285739,89914.50714285715,86523.19285714286,1.5,1.2
2026-01-27 19:15:00,88218.85,88380.85,88180.0,88248.68,116.20383,False,False,407.9811224489782,0.004623084701651949,,False,0.0,False,0.004031545607094289,,False,False,False,False,87432.71775510204,89064.64224489794,815.9622448979499,815.9622448979499,89880.6044897959,86616.7555102041,1.5,1.2
2026-01-27 19:30:00,88248.68,88549.32,88179.01,88528.14,87.35318,False,False,405.29032798833776,0.004578096049327793,,False,0.0,False,0.013346394669454753,,False,False,False,False,87717.55934402332,89338.72065597668,810.5806559766788,810.5806559766788,90149.30131195336,86906.97868804664,1.5,1.2
2026-01-27 19:45:00,88528.15,88528.15,88359.08,88408.77,133.42615,False,False,388.41744741774164,0.004393426663641419,,False,0.0,False,0.00984835729733824,,False,False,False,False,87631.93510516452,89185.60489483549,776.8348948354833,776.8348948354833,89962.43978967097,86855.10021032904,1.5,1.2
2026-01-27 20:00:00,88408.78,88739.14,88373.49,88739.13,127.27359,False,False,386.7912011736168,0.004358744571573068,,False,0.0,False,0.012192511002312001,,False,False,False,False,87965.54759765277,89512.71240234724,773.5824023472378,773.5824023472378,90286.29480469448,87191.96519530553,1.5,1.2
2026-01-27 20:15:00,88739.14,89200.0,88663.05,89149.99,388.8536,False,False,397.5168296612154,0.004458966620873602,,False,0.0,False,0.014589953111485476,,False,False,False,False,88354.95634067757,89945.02365932244,795.0336593224347,795.0336593224347,90740.05731864487,87559.92268135514,1.5,1.2
